State,sex,age,BMI Range,bmi
IA,Female,13,Normal,1
IA,Female,14,Normal,47
IA,Female,14,Obese,3
IA,Female,14,Overweight,6
IA,Female,14,Underweight,11
IA,Female,15,Normal,142
IA,Female,15,Obese,18
IA,Female,15,Overweight,29
IA,Female,15,Underweight,26
IA,Female,16,Normal,128
IA,Female,16,Obese,20
IA,Female,16,Overweight,18
IA,Female,16,Underweight,21
IA,Female,17,Normal,120
IA,Female,17,Obese,17
IA,Female,17,Overweight,21
IA,Female,17,Underweight,16
IA,Female,18,Normal,64
IA,Female,18,Obese,8
IA,Female,18,Overweight,8
IA,Female,18,Underweight,4
IA,Male,14,Normal,24
IA,Male,14,Obese,1
IA,Male,14,Overweight,5
IA,Male,14,Underweight,4
IA,Male,15,Normal,110
IA,Male,15,Obese,15
IA,Male,15,Overweight,29
IA,Male,15,Underweight,22
IA,Male,16,Normal,108
IA,Male,16,Obese,11
IA,Male,16,Overweight,30
IA,Male,16,Underweight,15
IA,Male,17,Normal,76
IA,Male,17,Obese,11
IA,Male,17,Overweight,36
IA,Male,17,Underweight,7
IA,Male,18,Normal,55
IA,Male,18,Obese,11
IA,Male,18,Overweight,22
IA,Male,18,Underweight,3
ID,Female,14,Normal,34
ID,Female,14,Obese,2
ID,Female,14,Overweight,6
ID,Female,14,Underweight,7
ID,Female,15,Normal,117
ID,Female,15,Obese,14
ID,Female,15,Overweight,16
ID,Female,15,Underweight,36
ID,Female,16,Normal,139
ID,Female,16,Obese,11
ID,Female,16,Overweight,19
ID,Female,16,Underweight,19
ID,Female,17,Normal,94
ID,Female,17,Obese,17
ID,Female,17,Overweight,19
ID,Female,17,Underweight,7
ID,Female,18,Normal,56
ID,Female,18,Obese,4
ID,Female,18,Overweight,9
ID,Female,18,Underweight,7
ID,Male,13,Normal,1
ID,Male,13,Obese,1
ID,Male,14,Normal,18
ID,Male,14,Obese,6
ID,Male,14,Overweight,3
ID,Male,14,Underweight,12
ID,Male,15,Normal,134
ID,Male,15,Obese,10
ID,Male,15,Overweight,30
ID,Male,15,Underweight,26
ID,Male,16,Normal,130
ID,Male,16,Obese,20
ID,Male,16,Overweight,29
ID,Male,16,Underweight,16
ID,Male,17,Normal,123
ID,Male,17,Obese,19
ID,Male,17,Overweight,33
ID,Male,17,Underweight,8
ID,Male,18,Normal,71
ID,Male,18,Obese,20
ID,Male,18,Overweight,21
ID,Male,18,Underweight,1
ID,Male,<= 12,Obese,2
IL,Female,14,Normal,68
IL,Female,14,Obese,3
IL,Female,14,Overweight,19
IL,Female,14,Underweight,13
IL,Female,15,Normal,168
IL,Female,15,Obese,20
IL,Female,15,Overweight,39
IL,Female,15,Underweight,25
IL,Female,16,Normal,206
IL,Female,16,Obese,39
IL,Female,16,Overweight,63
IL,Female,16,Underweight,29
IL,Female,17,Normal,189
IL,Female,17,Obese,40
IL,Female,17,Overweight,55
IL,Female,17,Underweight,16
IL,Female,18,Normal,77
IL,Female,18,Obese,20
IL,Female,18,Overweight,30
IL,Female,18,Underweight,8
IL,Male,13,Normal,1
IL,Male,14,Normal,57
IL,Male,14,Obese,4
IL,Male,14,Overweight,13
IL,Male,14,Underweight,15
IL,Male,15,Normal,146
IL,Male,15,Obese,29
IL,Male,15,Overweight,47
IL,Male,15,Underweight,20
IL,Male,16,Normal,205
IL,Male,16,Obese,39
IL,Male,16,Overweight,68
IL,Male,16,Underweight,25
IL,Male,17,Normal,164
IL,Male,17,Obese,37
IL,Male,17,Overweight,71
IL,Male,17,Underweight,18
IL,Male,18,Normal,91
IL,Male,18,Obese,29
IL,Male,18,Overweight,28
IL,Male,18,Underweight,9
KS,Female,14,Normal,58
KS,Female,14,Obese,8
KS,Female,14,Overweight,9
KS,Female,14,Underweight,17
KS,Female,15,Normal,149
KS,Female,15,Obese,13
KS,Female,15,Overweight,36
KS,Female,15,Underweight,27
KS,Female,16,Normal,149
KS,Female,16,Obese,19
KS,Female,16,Overweight,30
KS,Female,16,Underweight,24
KS,Female,17,Normal,130
KS,Female,17,Obese,16
KS,Female,17,Overweight,27
KS,Female,17,Underweight,24
KS,Female,18,Normal,43
KS,Female,18,Obese,13
KS,Female,18,Overweight,9
KS,Female,18,Underweight,5
KS,Male,14,Normal,60
KS,Male,14,Obese,10
KS,Male,14,Overweight,22
KS,Male,14,Underweight,21
KS,Male,15,Normal,115
KS,Male,15,Obese,19
KS,Male,15,Overweight,33
KS,Male,15,Underweight,15
KS,Male,16,Normal,125
KS,Male,16,Obese,17
KS,Male,16,Overweight,37
KS,Male,16,Underweight,13
KS,Male,17,Normal,110
KS,Male,17,Obese,25
KS,Male,17,Overweight,39
KS,Male,17,Underweight,8
KS,Male,18,Normal,50
KS,Male,18,Obese,14
KS,Male,18,Overweight,20
KS,Male,18,Underweight,2
KY,Female,13,Normal,1
KY,Female,14,Normal,151
KY,Female,14,Obese,29
KY,Female,14,Overweight,29
KY,Female,14,Underweight,36
KY,Female,15,Normal,278
KY,Female,15,Obese,30
KY,Female,15,Overweight,87
KY,Female,15,Underweight,63
KY,Female,16,Normal,333
KY,Female,16,Obese,54
KY,Female,16,Overweight,69
KY,Female,16,Underweight,46
KY,Female,17,Normal,257
KY,Female,17,Obese,57
KY,Female,17,Overweight,72
KY,Female,17,Underweight,45
KY,Female,18,Normal,83
KY,Female,18,Obese,26
KY,Female,18,Overweight,25
KY,Female,18,Underweight,14
KY,Female,<= 12,Normal,1
KY,Male,13,Normal,1
KY,Male,14,Normal,109
KY,Male,14,Obese,22
KY,Male,14,Overweight,26
KY,Male,14,Underweight,24
KY,Male,15,Normal,217
KY,Male,15,Obese,44
KY,Male,15,Overweight,82
KY,Male,15,Underweight,54
KY,Male,16,Normal,257
KY,Male,16,Obese,80
KY,Male,16,Overweight,107
KY,Male,16,Underweight,41
KY,Male,17,Normal,199
KY,Male,17,Obese,75
KY,Male,17,Overweight,90
KY,Male,17,Underweight,12
KY,Male,18,Normal,92
KY,Male,18,Obese,23
KY,Male,18,Overweight,40
KY,Male,18,Underweight,7
KY,Male,<= 12,Normal,1
LA,Female,14,Normal,26
LA,Female,14,Obese,2
LA,Female,14,Overweight,9
LA,Female,14,Underweight,3
LA,Female,15,Normal,95
LA,Female,15,Obese,13
LA,Female,15,Overweight,20
LA,Female,15,Underweight,20
LA,Female,16,Normal,141
LA,Female,16,Obese,22
LA,Female,16,Overweight,26
LA,Female,16,Underweight,21
LA,Female,17,Normal,119
LA,Female,17,Obese,27
LA,Female,17,Overweight,39
LA,Female,17,Underweight,19
LA,Female,18,Normal,41
LA,Female,18,Obese,11
LA,Female,18,Overweight,12
LA,Female,18,Underweight,7
LA,Female,<= 12,Normal,2
LA,Male,13,Normal,1
LA,Male,14,Normal,22
LA,Male,14,Obese,2
LA,Male,14,Overweight,5
LA,Male,14,Underweight,3
LA,Male,15,Normal,72
LA,Male,15,Obese,15
LA,Male,15,Overweight,22
LA,Male,15,Underweight,18
LA,Male,16,Normal,103
LA,Male,16,Obese,31
LA,Male,16,Overweight,50
LA,Male,16,Underweight,9
LA,Male,17,Normal,95
LA,Male,17,Obese,27
LA,Male,17,Overweight,40
LA,Male,17,Underweight,5
LA,Male,18,Normal,40
LA,Male,18,Obese,13
LA,Male,18,Overweight,21
LA,Male,18,Underweight,6
LA,Male,<= 12,Overweight,1
ME,Female,14,Normal,38
ME,Female,14,Obese,2
ME,Female,14,Overweight,3
ME,Female,14,Underweight,12
ME,Female,15,Normal,98
ME,Female,15,Obese,13
ME,Female,15,Overweight,21
ME,Female,15,Underweight,23
ME,Female,16,Normal,120
ME,Female,16,Obese,17
ME,Female,16,Overweight,24
ME,Female,16,Underweight,28
ME,Female,17,Normal,101
ME,Female,17,Obese,13
ME,Female,17,Overweight,25
ME,Female,17,Underweight,15
ME,Female,18,Normal,57
ME,Female,18,Obese,7
ME,Female,18,Overweight,6
ME,Female,18,Underweight,3
ME,Female,<= 12,Overweight,1
ME,Female,<= 12,Underweight,1
ME,Male,13,Obese,1
ME,Male,14,Normal,30
ME,Male,14,Obese,5
ME,Male,14,Overweight,11
ME,Male,14,Underweight,3
ME,Male,15,Normal,111
ME,Male,15,Obese,12
ME,Male,15,Overweight,23
ME,Male,15,Underweight,19
ME,Male,16,Normal,100
ME,Male,16,Obese,29
ME,Male,16,Overweight,31
ME,Male,16,Underweight,12
ME,Male,17,Normal,102
ME,Male,17,Obese,26
ME,Male,17,Overweight,26
ME,Male,17,Underweight,7
ME,Male,18,Normal,29
ME,Male,18,Obese,3
ME,Male,18,Overweight,8
ME,Male,18,Underweight,1
ME,Male,<= 12,Obese,1
MI,Female,13,Obese,1
MI,Female,14,Normal,132
MI,Female,14,Obese,14
MI,Female,14,Overweight,26
MI,Female,14,Underweight,32
MI,Female,15,Normal,297
MI,Female,15,Obese,30
MI,Female,15,Overweight,63
MI,Female,15,Underweight,52
MI,Female,16,Normal,296
MI,Female,16,Obese,45
MI,Female,16,Overweight,68
MI,Female,16,Underweight,51
MI,Female,17,Normal,238
MI,Female,17,Obese,39
MI,Female,17,Overweight,63
MI,Female,17,Underweight,34
MI,Female,18,Normal,102
MI,Female,18,Obese,13
MI,Female,18,Overweight,33
MI,Female,18,Underweight,9
MI,Female,<= 12,Normal,2
MI,Male,13,Normal,3
MI,Male,13,Underweight,1
MI,Male,14,Normal,106
MI,Male,14,Obese,13
MI,Male,14,Overweight,28
MI,Male,14,Underweight,21
MI,Male,15,Normal,282
MI,Male,15,Obese,55
MI,Male,15,Overweight,91
MI,Male,15,Underweight,35
MI,Male,16,Normal,307
MI,Male,16,Obese,60
MI,Male,16,Overweight,98
MI,Male,16,Underweight,22
MI,Male,17,Normal,244
MI,Male,17,Obese,41
MI,Male,17,Overweight,105
MI,Male,17,Underweight,11
MI,Male,18,Normal,145
MI,Male,18,Obese,20
MI,Male,18,Overweight,41
MI,Male,18,Underweight,7
MI,Male,<= 12,Obese,1
MO,Female,13,Overweight,1
MO,Female,14,Normal,15
MO,Female,14,Obese,1
MO,Female,14,Overweight,4
MO,Female,14,Underweight,6
MO,Female,15,Normal,109
MO,Female,15,Obese,12
MO,Female,15,Overweight,26
MO,Female,15,Underweight,28
MO,Female,16,Normal,147
MO,Female,16,Obese,35
MO,Female,16,Overweight,34
MO,Female,16,Underweight,24
MO,Female,17,Normal,103
MO,Female,17,Obese,20
MO,Female,17,Overweight,29
MO,Female,17,Underweight,21
MO,Female,18,Normal,91
MO,Female,18,Obese,12
MO,Female,18,Overweight,17
MO,Female,18,Underweight,10
MO,Male,14,Normal,21
MO,Male,14,Obese,4
MO,Male,14,Overweight,7
MO,Male,14,Underweight,4
MO,Male,15,Normal,87
MO,Male,15,Obese,12
MO,Male,15,Overweight,22
MO,Male,15,Underweight,14
MO,Male,16,Normal,105
MO,Male,16,Obese,20
MO,Male,16,Overweight,27
MO,Male,16,Underweight,11
MO,Male,17,Normal,125
MO,Male,17,Obese,29
MO,Male,17,Overweight,44
MO,Male,17,Underweight,2
MO,Male,18,Normal,91
MO,Male,18,Obese,23
MO,Male,18,Overweight,38
MO,Male,18,Underweight,3
MS,Female,13,Normal,1
MS,Female,14,Normal,31
MS,Female,14,Obese,4
MS,Female,14,Overweight,9
MS,Female,14,Underweight,9
MS,Female,15,Normal,120
MS,Female,15,Obese,31
MS,Female,15,Overweight,29
MS,Female,15,Underweight,19
MS,Female,16,Normal,86
MS,Female,16,Obese,34
MS,Female,16,Overweight,39
MS,Female,16,Underweight,26
MS,Female,17,Normal,118
MS,Female,17,Obese,32
MS,Female,17,Overweight,43
MS,Female,17,Underweight,16
MS,Female,18,Normal,92
MS,Female,18,Obese,25
MS,Female,18,Overweight,36
MS,Female,18,Underweight,7
MS,Male,14,Normal,26
MS,Male,14,Obese,9
MS,Male,14,Overweight,7
MS,Male,14,Underweight,2
MS,Male,15,Normal,86
MS,Male,15,Obese,18
MS,Male,15,Overweight,29
MS,Male,15,Underweight,8
MS,Male,16,Normal,95
MS,Male,16,Obese,23
MS,Male,16,Overweight,35
MS,Male,16,Underweight,13
MS,Male,17,Normal,100
MS,Male,17,Obese,29
MS,Male,17,Overweight,37
MS,Male,17,Underweight,9
MS,Male,18,Normal,81
MS,Male,18,Obese,21
MS,Male,18,Overweight,36
MS,Male,18,Underweight,7
MT,Female,14,Normal,156
MT,Female,14,Obese,16
MT,Female,14,Overweight,16
MT,Female,14,Underweight,46
MT,Female,15,Normal,359
MT,Female,15,Obese,32
MT,Female,15,Overweight,50
MT,Female,15,Underweight,81
MT,Female,16,Normal,345
MT,Female,16,Obese,36
MT,Female,16,Overweight,64
MT,Female,16,Underweight,62
MT,Female,17,Normal,310
MT,Female,17,Obese,33
MT,Female,17,Overweight,72
MT,Female,17,Underweight,44
MT,Female,18,Normal,161
MT,Female,18,Obese,21
MT,Female,18,Overweight,38
MT,Female,18,Underweight,14
MT,Male,13,Normal,3
MT,Male,13,Obese,1
MT,Male,14,Normal,94
MT,Male,14,Obese,15
MT,Male,14,Overweight,21
MT,Male,14,Underweight,22
MT,Male,15,Normal,325
MT,Male,15,Obese,35
MT,Male,15,Overweight,72
MT,Male,15,Underweight,64
MT,Male,16,Normal,331
MT,Male,16,Obese,37
MT,Male,16,Overweight,95
MT,Male,16,Underweight,33
MT,Male,17,Normal,300
MT,Male,17,Obese,57
MT,Male,17,Overweight,91
MT,Male,17,Underweight,24
MT,Male,18,Normal,174
MT,Male,18,Obese,38
MT,Male,18,Overweight,64
MT,Male,18,Underweight,7
MT,Male,<= 12,Obese,1
ND,Female,14,Normal,20
ND,Female,14,Obese,3
ND,Female,14,Overweight,5
ND,Female,14,Underweight,8
